"ID"	"ENTREZID"	"SYMBOL"	"GENENAME"	"logFC"	"P.Value"	"adj.P.Val"	"GSM11625"	"GSM11757"	"GSM11758"	"GSM11759"	"GSM11760"	"GSM11761"	"GSM11762"	"GSM11763"	"GSM11764"	"GSM11765"	"GSM11766"	"GSM11767"	"GSM11768"	"GSM11769"	"GSM11770"	"GSM11771"	"GSM11772"	"GSM11773"	"GSM11774"	"GSM11775"	"GSM11776"	"GSM11777"	"GSM11778"	"GSM11779"	"GSM68108"	"GSM68109"
"1"	"A28102_at"	"2556"	"GABRA3"	"gamma-aminobutyric acid type A receptor subunit alpha3"	0.031736498837172	0.967996984976974	0.999999999999999	294.02	485.61	323.8	42.19	431.24	391.18	385.97	100.61	186.32	625.83	374.32	747.9	646.18	314.02	487.99	106.72	20	86.42	293.76	421.21	913.26	352.46	232.6	86.3	293.765222	293.765222
"2"	"AB000114_at"	"4958"	"OMD"	"osteomodulin"	0.923992803500474	0.216463212437378	0.596789684406936	58.48	20	90.83	30.02	164	59.42	20	85.34	53.38	125.16	20	91.61	20	25.5	93.01	128.45	58.14	125.5	116.42	161.36	321.88	20	20	20	116.4213542	116.4213542
"3"	"AB000115_at"	"10964"	"IFI44L"	"interferon induced protein 44 like"	0.571206917810628	0.129187528221326	0.495836701440703	310.04	140.89	126.99	191.49	174.06	217.87	185.4	129.36	193.64	207.77	133.9	230.9	591.32	293.3	597.57	131.41	304.72	123.28	188.51	428.11	218.72	226.84	168.53	104.33	188.5152693	188.5152693
"4"	"AB000220_at"	"10512"	"SEMA3C"	"semaphorin 3C"	-1.64423329539956	0.145575318512664	0.521203754008221	584.83	336.92	402.02	439.79	225.57	268.62	801.57	517.44	645.84	999.33	1028.4	2023.51	260.02	94.04	59.88	326.83	682.14	57.19	22.76	192.03	223.35	441.5	28.55	80.62	22.76919249	22.76919249
"5"	"AB000381_s_at"	"2765"	"GML"	"glycosylphosphatidylinositol anchored molecule like"	0.268726445782488	0.559023528416538	0.847139331540153	20	20	55.5	38.13	62.95	33.42	44.8	52.1	32.44	20	50.27	20	62.09	71.73	20	36.8	20	20	70.39	20	20	20	38.3	56.59	70.39688539	70.39688539
"6"	"AB000409_at"	"8569"	"MKNK1"	"MAPK interacting serine/threonine kinase 1"	0.352315042485515	0.592611089692891	0.868010872032745	105.75	20	95.03	105.48	27.66	20	20	20	20	165.72	20	20	293.89	81.29	138.88	163.19	79.58	139.8	54.71	30.13	20	37.8	20	100.66	54.71428427	54.71428427
"7"	"AB000410_s_at"	"4968"	"OGG1"	"8-oxoguanine DNA glycosylase"	-8.88178419700125e-16	0.999999999999985	0.999999999999999	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
"8"	"AB000449_at"	"7443"	"VRK1"	"VRK serine/threonine kinase 1"	1.30875756161143	0.0211148625462768	0.263526867236895	20	47.33	20	20	86.74	63.13	84.08	20	26.16	20	34.84	157.5	77.44	20	59.88	106.72	38.15	77.68	30.06	163.4	49.92	60.98	20	61.26	30.06897854	30.06897854
"9"	"AB000450_at"	"7444"	"VRK2"	"VRK serine/threonine kinase 2"	-0.500993886771822	0.541640673104072	0.834278109358826	117.76	128.64	243.9	107.1	117.78	77.98	141.29	61.98	193.64	361.48	120.95	280.19	285.95	172.15	136.33	132.74	20	122.32	20	188.95	370.82	115.86	75.21	20	20	20
"10"	"AB000460_at"	"8603"	"FAM193A"	"family with sequence similarity 193 member A"	-0.448087057196959	0.253492772648892	0.636693879757854	1192.1	1794.31	1170.73	1249.61	785.67	2011.62	1806.48	1975.44	2158.38	2944.44	1440.56	2297.27	2042.11	943.66	1633.45	1104.83	763.73	620.22	767.5	801.04	1108.51	1534.27	672.74	637.35	767.5008704	767.5008704
"11"	"AB000462_at"	"6452"	"SH3BP2"	"SH3 domain binding protein 2"	2.17458272358843	0.011852412680178	0.219431436222607	20	35.64	20	20	113.84	20	20	20	96.3	32.04	73.17	46.07	290.72	41.44	73.9	79.52	64.32	115.65	139.35	175.16	1044.36	20	20	157.41	139.3525747	139.3525747
"12"	"AB000464_at"	"317648"	"NOP14-AS1"	"NOP14 antisense RNA 1"	0.501152458259016	0.354994582776002	0.708084890492594	207.49	363.65	196.8	294.55	474.83	438.22	272.24	353.94	354.84	451.6	363.37	109.29	948.9	154.62	420.46	171.17	325.62	282.46	235.89	1030.74	1503.64	413.45	137.89	199.82	235.8956564	235.8956564
"13"	"AB000466_at"	"317648"	"NOP14-AS1"	"NOP14 antisense RNA 1"	-8.88178419700125e-16	0.999999999999985	0.999999999999999	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
"14"	"AB000467_at"	"8602"	"NOP14"	"NOP14 nucleolar protein"	-8.88178419700125e-16	0.999999999999999	0.999999999999999	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	642.78	20	20	20	20	20
"15"	"AB000468_at"	"6047"	"RNF4"	"ring finger protein 4"	1.08531950147586	0.0483477845152748	0.343138350853003	274.79	164.28	345.67	421.13	688.63	578.11	1140.68	665.66	610.25	455.61	244.9	294.66	470.83	489.36	654.91	803.27	436.65	757.8	341.81	1135.46	1912.65	525.65	91.92	221.35	341.8193043	341.8193043
"16"	"AB000584_at"	"9518"	"GDF15"	"growth differentiation factor 15"	1.88239928965295	0.131887491700595	0.501244483616806	20	60.14	69.8	89.25	347.65	303.29	20	157.2	20	20	20	20	937.79	20	301.97	130.08	38.52	210.97	314.64	564.59	3643.95	52.44	20	41.9	314.6497735	314.6497735
"17"	"AB000816_s_at"	"406"	"ARNTL"	"basic helix-loop-helix ARNT like 1"	0.277664218727367	0.423333976804136	0.753455827658679	20	20	20	20	51.03	20	20	20	20	78.1	20	20	20	20	20	20	20	20	44.31	20	20	20	20	20	44.31891137	44.31891137
"18"	"AB000895_at"	"8642"	"DCHS1"	"dachsous cadherin-related 1"	1.55374924165788	0.209034519849716	0.589222503889365	20	20	20	20	491.33	20	20	20	280.52	20	20	20	20	20	20	37.1	20	20	194.14	732.46	1561.33	20	20	274.77	194.1436091	194.1436091
"19"	"AB000896_at"	"8641"	"PCDHGB4"	"protocadherin gamma subfamily B, 4"	1.67929434913052	0.106575895159211	0.459479653660199	20	20	20	20	313.08	20	20	20	76.41	20	20	20	390.04	20	44.59	27.34	36.88	59.41	20	139.13	2237.68	20	20	74.61	20	20
"20"	"AB000897_at"	"26025"	"PCDHGA12"	"protocadherin gamma subfamily A, 12"	1.88028792116539	0.0801352042667755	0.405191485768311	20	20	20	20	173.93	20	20	126.66	45.01	20	20	60.53	309.59	20	20	205.17	20	26.53	36.17	749.94	1513.55	20	20	70.27	36.17487436	36.17487436
"21"	"AB000905_at"	"8294"	"HIST1H4I"	"H4 clustered histone 9"	1.49803953868663	0.121167300175207	0.482006027664065	55.27	160.94	43.73	59.23	281.34	129.98	59.96	54.79	124.56	80.1	20	49.82	529.4	36.66	82.81	132	52.51	985.94	283.39	480.64	1409.07	54.88	20	203.32	283.3954325	283.3954325
